Date,Product ID,Model,Serial Number,Quantity,Entity,Ref No.,Person,Remark
20 Jan 26,PV-06,RS7-595N-E2,A240526H11475,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11273,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11407,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11398,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11367,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11421,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11113,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11120,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11197,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11188,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11190,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11385,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11323,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11383,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11386,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11341,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11330,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11373,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11375,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11192,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11157,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11332,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11394,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11331,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11325,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11312,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240520M11402,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11382,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11258,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11085,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H10840,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11467,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11448,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11444,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11255,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11218,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11469,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11471,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11443,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11479,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11472,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11343,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11399,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11426,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11423,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11404,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11315,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11418,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11420,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11209,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11117,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11095,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11213,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11191,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11295,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11342,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11387,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11389,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11391,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11291,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11345,,Simat,,Wuttikorn,
20 Jan 26,PV-06,RS7-595N-E2,A240526H11344,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001002440,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000564,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000551,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001002430,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000539,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000549,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000557,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000577,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000575,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000664,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000576,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000540,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000662,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000674,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000669,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000643,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000645,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000658,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000640,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000646,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000631,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000641,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000647,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000639,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000628,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000599,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000555,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000603,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000569,,Simat,,Wuttikorn,
20 Jan 26,PV-04,AIKO-G650-MCH72Mw,21125701P0001000610,,Simat,,Wuttikorn,
