Product ID,Category,Brand,Model,Specification,Unit,Min Stock,Image
PV-01,Panel,AE,AE625TME-120BDS,Monocrystalline Photovoltaic Solar Panel Plus Sorting,แผ่น,,https://drive.google.com/file/d/1ZhlnmJ_NHUYVRMxbu8B9YHkYhm108UeS/view?usp=drive_link
PV-02,Panel,AIKO,AIKO-A500-MAH60Mb,RG6+2DC 300M 95% PVC,แผ่น,,https://drive.google.com/file/d/186pBISHBOs4JG-hqgcspAx3h4_9UD3Vj/view?usp=drive_link
PV-03,Panel,AIKO,AIKO-A670-MAH78Dw,Dual-glass Modules 670 Power Bin,แผ่น,,https://drive.google.com/file/d/1aFugfHVYiBAMVixNsGjn7U6XbzAQKeK-/view?usp=drive_link
PV-04,Panel,AIKO,AIKO-G650-MCH72Mw,Solar Module DN#0800145368,แผ่น,,https://drive.google.com/file/d/1nNQa4UBID2ezG3NgVlTTTOjqMuD3t-4R/view?usp=drive_link
PV-05,Panel,RENE,RS7-595M-E2,"Solar module,Mono-Facial single glass,595W,size of 2465*1134*35mm cable length 1200mm",แผ่น,,https://drive.google.com/file/d/1j_j6EbzsTfW00llvt_9OMZazrqC2IQfM/view?usp=drive_link
PV-06,Panel,RENE,RS7-595N-E2,"Solar module, Mono-Facial, Single glass 595W,size of 2465*1134*35mm, Cable Length 1200mm",แผ่น,,https://drive.google.com/file/d/1vxGFvYKla0nZbWJozMQ9mljD5zfGcFQH/view?usp=drive_link
PV-07,Panel,RENE,RS7-620N-E2,"Solar module,Mono-facial,Single glass 620W,size of 2465*1134*35mm Cable Length 1200mm",แผ่น,,https://drive.google.com/file/d/11XH1WSXO9TIMMn8xouR1rsJGfXQneHpb/view?usp=drive_link
PV-08,Panel,LONGi,LONGi 555Wp,Longi Mono 555,แผ่น,,https://drive.google.com/file/d/105JmPoKLGmCHFsfoBruEW2fVrY3Y-YSJ/view?usp=drive_link
MIC-01,Micro Inverter,Hoymiles,HMS-2000 4-in-1 PEA,Single Phase Microinverter,ตัว,,https://drive.google.com/file/d/18f4GkhsHMQb9CsmJ6fudxYzMu0pGqvHM/view?usp=drive_link
MIC-02,Micro Inverter,Hoymiles,HMT-2000-4T-MEA,"Three-Phase Microinverter 4-in-1,MEA Version",ตัว,,https://drive.google.com/file/d/1fN9uU9zj4tJdI0BnLO2HQ4HD8yTkojiN/view?usp=drive_link
